EstablishmentName,SEN_Provision_List,HasSENProvision
Astor Secondary School,Not applicable,False
White Cliffs Primary and Nursery School,Not applicable,False
Barton Junior School,Not applicable,False
Shatterlocks Infant and Nursery School,Not applicable,False
"St Bede's Catholic School and Sixth Form College, Lanchester",Not applicable,False
The Meadow Community Primary School,Not applicable,False
Belfairs Academy,Not applicable,False
Mowden Infant School,Not applicable,False
Mowden Junior School,Not applicable,False
Cromwell Community College,Not applicable,False
Riddlesdown Collegiate,Not applicable,False
Heathfield Primary School,"SLCN - Speech, language and Communication",True
Hurworth Primary School,Not applicable,False
Priory Academy,Not applicable,False
All Faiths Children's Academy,HI - Hearing Impairment,True
Bellerive FCJ Catholic College,Not applicable,False
Wyvern College,Not applicable,False
St Thomas More Catholic Voluntary Academy,Not applicable,False
Dorchester Middle School,PD - Physical Disability,True
Woodcote High School,PD - Physical Disability,True
Woodford Valley Church of England Aided School,Not applicable,False
"St Mary's Church of England Middle School, Puddletown","OTH - Other Difficulty/Disability; SLCN - Speech, language and Communication; ASD - Autistic Spectrum Disorder",True
Harrogate High School,Not applicable,False
The South Wolds Academy & Sixth Form,Not applicable,False
Ryvers School,Not applicable,False
Avonbourne Girls Academy,Not applicable,False
Erdington Hall Primary School,Not applicable,False
Leigh Academy Molehill,"HI - Hearing Impairment; SLCN - Speech, language and Communication",True
School 21,Not applicable,False
Hatfield Community Free School,Not applicable,False
Wapping High School,Not applicable,False
Kingfisher Hall Primary Academy,Not applicable,False
Bedminster Down School,Not applicable,False
Fleetville Junior School,Not applicable,False
Fleetville Infant and Nursery School,Not applicable,False
Denton West End Primary School,Not applicable,False
Woodfield Academy,Not applicable,False
Ardley Hill Academy,ASD - Autistic Spectrum Disorder,True
The Henry Box School,Not applicable,False
Kibblesworth Academy,Not applicable,False
Atkinson Road Primary Academy,"SLCN - Speech, language and Communication; ASD - Autistic Spectrum Disorder",True
Eppleton Academy Primary School,Not applicable,False
The Duston School,Not applicable,False
The Wroxham School,Not applicable,False
The Priory School,Not applicable,False
Dorrington Academy,Not applicable,False
The Pioneer School,OTH - Other Difficulty/Disability; SLD - Severe Learning Difficulty; PMLD - Profound and Multiple Learning Difficulty,True
Tauheedul Islam Boys' High School,Not applicable,False
St Joseph's College,Not applicable,False
Aston University Engineering Academy,Not applicable,False
Cobham Free School,Not applicable,False
Avanti House School,Not applicable,False
Bedford Free School,Not applicable,False
Alban City School,Not applicable,False
Tiger Primary School,Not applicable,False
Atherton High School,Not applicable,False
All Saints Academy Darfield,Not applicable,False
The Parker E-ACT Academy,"SEMH - Social, Emotional and Mental Health",True
Oasis Academy Nunsthorpe,Not applicable,False
Becket Keys Church of England Free School,Not applicable,False
Manor Church of England Infant School,Not applicable,False
Hopedale School,"SEMH - Social, Emotional and Mental Health",True
Ark Greenwich Free School,"SpLD - Specific Learning Difficulty; VI - Visual Impairment; OTH - Other Difficulty/Disability; HI - Hearing Impairment; SLCN - Speech, language and Communication; ASD - Autistic Spectrum Disorder; SEMH - Social, Emotional and Mental Health; PD - Physical Disability; MLD - Moderate Learning Difficulty",True
Sirius Academy North,"SLCN - Speech, language and Communication; MLD - Moderate Learning Difficulty",True
Outwood Academy Valley,Not applicable,False
Outwood Academy Portland,Not applicable,False
Breckland School,Not applicable,False
Dixons Trinity Academy,Not applicable,False
Dixons Music Primary,Not applicable,False
Stephenson Academy,"SEMH - Social, Emotional and Mental Health",True
Corby Technical School,Not applicable,False
Cramlington Village Primary School,Not applicable,False
Emmanuel Community School,Not applicable,False
King's Leadership Academy Hawthornes,Not applicable,False
Bilingual Primary School - Brighton & Hove,Not applicable,False
Stone Soup Academy,Not applicable,False
Reach Academy Feltham,Not applicable,False
Ark Bolingbroke Academy,Not applicable,False
Barrow 1618 CofE Free School,Not applicable,False
Europa School UK,Not applicable,False
Medeshamstede Academy,ASD - Autistic Spectrum Disorder,True
Rimon Jewish Primary School,Not applicable,False
Beccles High School,MLD - Moderate Learning Difficulty,True
Solebay Primary - A Paradigm Academy,Not applicable,False
Derby Pride Academy,Not applicable,False
Oasis Academy Connaught,Not applicable,False
Weelsby Academy,Not applicable,False
Winhills Primary Academy,Not applicable,False
Wilson Stuart School,"OTH - Other Difficulty/Disability; SLCN - Speech, language and Communication; PD - Physical Disability; PMLD - Profound and Multiple Learning Difficulty",True
St Wulfram's National Church of England Primary School,Not applicable,False
The Harrowby Church of England Primary School,Not applicable,False
Rauceby Church of England Primary School,Not applicable,False
Riverside Primary Academy,Not applicable,False
Beaumont School,Not applicable,False
The Costello School,Not applicable,False
St Catherine of Siena Catholic Primary School,Not applicable,False
Burford School,Not applicable,False
Saint Martin's Catholic Voluntary Academy,Not applicable,False
Boston West Academy,Not applicable,False
St Mary Roman Catholic Primary School,Not applicable,False
Crigglestone St James CofE Primary Academy,Not applicable,False
Sacred Heart Catholic Voluntary Academy,Not applicable,False
"Saint Mary's Catholic Primary School, Loughborough",Not applicable,False
"Saint Clare's Primary School A Catholic Voluntary Academy, Coalville, Leicestershire",Not applicable,False
Holy Cross School A Catholic Voluntary Academy,Not applicable,False
De Lisle College Loughborough Leicestershire,Not applicable,False
"Saint Winefride's Catholic Voluntary Academy, Shepshed, Leicestershire",Not applicable,False
Waterloo Primary Academy,Not applicable,False
The Newbridge School,Not applicable,False
"Holy Trinity Primary School, A Church of England Academy",Not applicable,False
Warren Farm Primary School,Not applicable,False
Crawshaw Academy,Not applicable,False
Tregoze Primary School,Not applicable,False
Rodbourne Cheney Primary School,Not applicable,False
Nyland School,"SEMH - Social, Emotional and Mental Health",True
Mountford Manor Primary School,Not applicable,False
Drove Primary School,Not applicable,False
Elburton Primary School,Not applicable,False
"St Teresa's Catholic Primary School, Colchester",Not applicable,False
Westminster City School,Not applicable,False
The Grey Coat Hospital,Not applicable,False
Armthorpe Academy,Not applicable,False
Pilton Bluecoat Church of England Academy,Not applicable,False
St John Roman Catholic Primary School,Not applicable,False
Christ Church Church of England Primary School,Not applicable,False
Neston High School,Not applicable,False
Huncote Primary School,Not applicable,False
Our Lady Catholic Primary School,Not applicable,False
Brookvale Groby Learning Campus,Not applicable,False
Ruskington Chestnut Street Church of England Academy,Not applicable,False
The Frances Bardsley Academy for Girls,Not applicable,False
Heath Lane Academy,Not applicable,False
Chattenden Primary School,Not applicable,False
St Bernard's Catholic High School,Not applicable,False
The Gainsborough Hillcrest Early Years Academy,Not applicable,False
East Herrington Primary Academy,Not applicable,False
The Vale Primary Academy,Not applicable,False
Kings Bournemouth,Not applicable,False
The Gateway Primary Free School,Not applicable,False
St Cyprian's Greek Orthodox Primary Academy,Not applicable,False
Rodillian Academy,Not applicable,False
All Saints' Catholic High School,PD - Physical Disability,True
Our Lady of Perpetual Succour Catholic Primary School,Not applicable,False
St Mary's Catholic Primary School,Not applicable,False
St Teresa's Catholic Primary School,Not applicable,False
The Trinity Catholic School A Voluntary Academy,Not applicable,False
Altwood Church of England School,Not applicable,False
Woodlands Academy of Learning,Not applicable,False
Farndon Fields Primary School,Not applicable,False
Meadowdale Primary School,Not applicable,False
Ridgeway Primary Academy,Not applicable,False
Parkland Primary School South Wigston,Not applicable,False
Harris Primary Academy Chafford Hundred,"SLCN - Speech, language and Communication",True
Ivanhoe School,Not applicable,False
The Rural Enterprise Academy,Not applicable,False
Tring School,Not applicable,False
Cotgrave Candleby Lane School,Not applicable,False
St Thomas More Roman Catholic Primary School,Not applicable,False
Hilbre High School,"SpLD - Specific Learning Difficulty; VI - Visual Impairment; HI - Hearing Impairment; SLCN - Speech, language and Communication; ASD - Autistic Spectrum Disorder; SEMH - Social, Emotional and Mental Health; MSI - Multi-Sensory Impairment; PD - Physical Disability; MLD - Moderate Learning Difficulty; SLD - Severe Learning Difficulty",True
St George's School,Not applicable,False
Thurcroft Junior Academy,"SLCN - Speech, language and Communication; ASD - Autistic Spectrum Disorder",True
Kibworth Church of England Primary School,Not applicable,False
"Great Bowden Academy, A Church of England Primary School",Not applicable,False
St Mary's Church of England High School (VA),Not applicable,False
Notre Dame High School,PD - Physical Disability,True
Gurney Pease Academy,Not applicable,False
Willow Brook Primary School Academy,Not applicable,False
Oakbank,Not applicable,False
Parkside Studio College,Not applicable,False
Barton Hill Academy,"SLCN - Speech, language and Communication",True
Torquay Academy,Not applicable,False
Meadow Park Academy,Not applicable,False
Chantry Academy,MLD - Moderate Learning Difficulty,True
West Walsall E-ACT Academy,Not applicable,False
Bridgwater College Academy,ASD - Autistic Spectrum Disorder,True
E-Act the Dolphin School,Not applicable,False
Clannad Education Centre,Not applicable,False
Everton Free School,Not applicable,False
Lighthouse School Leeds,ASD - Autistic Spectrum Disorder,True
Enfield Heights Academy,Not applicable,False
Kings London,Not applicable,False
LeAF Studio,Not applicable,False
Park View Academy,Not applicable,False
Garden City Academy,Not applicable,False
Heron Park Primary Academy,Not applicable,False
Oakwood Primary Academy,Not applicable,False
Glenleigh Park Primary Academy,Not applicable,False
Chilwell Croft Academy,Not applicable,False
E-ACT Nechells Academy,Not applicable,False
Ark Tindal Primary Academy,Not applicable,False
Field Lane Primary School,Not applicable,False
The Ferns Primary Academy,Not applicable,False
King Offa Primary Academy,Not applicable,False
Willow Green Academy,Not applicable,False
Portfield Primary Academy,"SLCN - Speech, language and Communication",True
London Academy of Excellence,Not applicable,False
Briscoe Primary School & Nursery Academy,Not applicable,False
Earlscliffe (Sussex Summer Schools Ltd),Not applicable,False
Wandsworth Preparatory School,Not applicable,False
Pier View Academy,Not applicable,False
Oasis Academy Bank Leaze,Not applicable,False
Percy Shurmer Academy,HI - Hearing Impairment,True
Meden School,Not applicable,False
Southway Primary School,Not applicable,False
Chaucer School,Not applicable,False
Gooseacre Primary Academy,Not applicable,False
Dukesgate Academy,Not applicable,False
Croft Academy,Not applicable,False
The Dean Academy,ASD - Autistic Spectrum Disorder,True
Eastfield Academy,Not applicable,False
The Croft Primary School,Not applicable,False
The Shirestone Academy,Not applicable,False
The Ridge Academy,Not applicable,False
Race Leys Junior School,Not applicable,False
St Clement's Church of England Academy,Not applicable,False
"St Michael's CofE Primary Academy, Handsworth",Not applicable,False
Northdown Primary School,Not applicable,False
Tamworth Enterprise College and AET Academy,Not applicable,False
Newlands Primary School,Not applicable,False
Bridgemary School,Not applicable,False
Salmestone Primary School,Not applicable,False
Sir Herbert Leon Academy,Not applicable,False
Charles Warren Academy,"SLCN - Speech, language and Communication; ASD - Autistic Spectrum Disorder",True
Compass Community School North,Not applicable,False
Skegness Junior Academy,Not applicable,False
Wyndham Spencer Academy,Not applicable,False
Ingoldmells Academy,Not applicable,False
Mablethorpe Primary Academy,Not applicable,False
Harris Primary Academy Coleraine Park,Not applicable,False
Harris Primary Academy Philip Lane,Not applicable,False
Orchard School Bristol,Not applicable,False
Harris Academy Greenwich,Not applicable,False
The Bridge Short Stay School,Not applicable,False
Reedswood E-ACT Academy,Not applicable,False
Broadfield Primary Academy,Not applicable,False
Lime Academy Hornbeam,"VI - Visual Impairment; HI - Hearing Impairment; SLCN - Speech, language and Communication; ASD - Autistic Spectrum Disorder; MSI - Multi-Sensory Impairment; PD - Physical Disability; SLD - Severe Learning Difficulty; PMLD - Profound and Multiple Learning Difficulty",True
Voyage Learning Campus,Not applicable,False
Wembley High Technology College,Not applicable,False
Salvatorian Roman Catholic College,Not applicable,False
The Holy Cross School,Not applicable,False
Teddington School,"SEMH - Social, Emotional and Mental Health",True
Waldegrave School,ASD - Autistic Spectrum Disorder,True
Tudor Grange Primary Academy Hockley Heath,Not applicable,False
Loreto Grammar School,Not applicable,False
St Patrick's Catholic Primary School,Not applicable,False
Nailsea School,ASD - Autistic Spectrum Disorder,True
Bursar Primary Academy,Not applicable,False
Thrunscoe Primary and Nursery Academy,Not applicable,False
Chantry Primary Academy,VI - Visual Impairment,True
"St Mary's Catholic High School, A Catholic Voluntary Academy",Not applicable,False
The Gryphon School,SpLD - Specific Learning Difficulty,True
Hailsham Community College,SpLD - Specific Learning Difficulty,True
Seaford Head School,Not applicable,False
Ratton School,Not applicable,False
The Cavendish School,Not applicable,False
St Anne's Catholic School,Not applicable,False
The Castle Rock School,Not applicable,False
King William Street Church of England Primary School,Not applicable,False
The Harvey Grammar School,Not applicable,False
Rushcliffe Spencer Academy,Not applicable,False
Tarporley High School and Sixth Form College,Not applicable,False
The Sele School,Not applicable,False
Knightsfield School,Not applicable,False
Branston Junior Academy,Not applicable,False
St Andrew's CofE Primary School,Not applicable,False
Didcot Girls' School,Not applicable,False
The Bishop Wand Church of England School,Not applicable,False
Greenway Junior School,Not applicable,False
Spring Lane Primary School,Not applicable,False
Harris Academy Morden,Not applicable,False
SGS Forest High School,Not applicable,False
Harpfield Primary Academy,Not applicable,False
Bolton Islamic Girls School,Not applicable,False
Wykham Park,Not applicable,False
Dashwood Banbury Academy,Not applicable,False
Robert Fitzroy Academy,Not applicable,False
Arrow Vale High School,Not applicable,False
Ormiston Sudbury Academy,Not applicable,False
The Grove Academy,Not applicable,False
"St Augustine's Catholic Primary and Nursery School, A Voluntary Academy",Not applicable,False
Phoenix Primary School,Not applicable,False
The Robert Napier School,VI - Visual Impairment,True
St John Fisher Catholic Voluntary Academy,Not applicable,False
Vishnitz Girls School,Not applicable,False
Ark Isaac Newton Academy,Not applicable,False
Worlaby Academy,Not applicable,False
Brockington College,Not applicable,False
Ralph Allen School,Not applicable,False
St Bede's Catholic Primary School,Not applicable,False
Trinity School,SpLD - Specific Learning Difficulty; ASD - Autistic Spectrum Disorder,True
Portland Academy,SLD - Severe Learning Difficulty; PMLD - Profound and Multiple Learning Difficulty,True
Thomas Estley Community College,ASD - Autistic Spectrum Disorder,True
Cosby Primary School,Not applicable,False
Barbara Priestman Academy,ASD - Autistic Spectrum Disorder; SLD - Severe Learning Difficulty,True
Westbury Park School,Not applicable,False
Melland High School,SLD - Severe Learning Difficulty,True
Newlands Spring Primary and Nursery School,Not applicable,False
Holley Park Academy,Not applicable,False
Simpson's Lane Academy,Not applicable,False
Balsall Common Primary School,Not applicable,False
Hawes Side Academy,Not applicable,False
Northgate Primary School,Not applicable,False
Jubilee Academy Mossley,Not applicable,False
King Ina Church of England Academy,Not applicable,False
Yarborough Academy,Not applicable,False
Broughton Jewish Cassel Fox Primary School,Not applicable,False
Albany Academy,Not applicable,False
Meadowhead School Academy Trust,Not applicable,False
Charlton Park Academy,"SpLD - Specific Learning Difficulty; SLCN - Speech, language and Communication; ASD - Autistic Spectrum Disorder; MSI - Multi-Sensory Impairment; PD - Physical Disability; MLD - Moderate Learning Difficulty; SLD - Severe Learning Difficulty; PMLD - Profound and Multiple Learning Difficulty",True
Sutherland Primary Academy,Not applicable,False
Haywood Academy,Not applicable,False
Eaton Park Academy,Not applicable,False
The Crescent Academy,Not applicable,False
Queensmead Primary Academy,Not applicable,False
Acre Rigg Academy,Not applicable,False
Victoria Lane Academy,Not applicable,False
Stephenson Way Academy and Nursery School,Not applicable,False
Tudhoe Colliery Primary School,Not applicable,False
St. Augustine's Academy,Not applicable,False
Brambles Primary Academy,Not applicable,False
Pennyman Primary Academy,OTH - Other Difficulty/Disability; PD - Physical Disability,True
King's Leadership Academy Warrington,Not applicable,False
Aurora Hedgeway School,ASD - Autistic Spectrum Disorder; MLD - Moderate Learning Difficulty,True
Buttercup Primary School,Not applicable,False
Central Hub Brighton,Not applicable,False
Christ's College,Not applicable,False
Darul Hadis Latifiah Northwest,Not applicable,False
Mansfield Primary Academy,Not applicable,False
Queensbury Academy,Not applicable,False
White Hall Academy and Nursery,Not applicable,False
Grasmere Academy,"SLCN - Speech, language and Communication",True
Welbeck Academy,"SLCN - Speech, language and Communication",True
Water Meadows Primary School,Not applicable,False
Physis Academy,Not applicable,False
Thameside Primary School,"SEMH - Social, Emotional and Mental Health; MLD - Moderate Learning Difficulty",True
Samuel Ryder Academy,Not applicable,False
Chalfont Valley E-ACT Primary Academy,Not applicable,False
Christ Church CE Academy,Not applicable,False
The New Forest Academy,Not applicable,False
Nishkam High School,Not applicable,False
Noel Park Primary School,Not applicable,False
Trinity Primary Academy,Not applicable,False
Slade Primary School,Not applicable,False
Goldsmith Primary Academy,Not applicable,False
St Laurence In Thanet Church of England Junior Academy,Not applicable,False
The Featherstone Academy,"SLCN - Speech, language and Communication; ASD - Autistic Spectrum Disorder",True
Middlefield Primary Academy,Not applicable,False
Hope Corner School,"ASD - Autistic Spectrum Disorder; SEMH - Social, Emotional and Mental Health; MLD - Moderate Learning Difficulty",True
The Stewart Bilingual School,Not applicable,False
Kings Education (Oxford),Not applicable,False
Herons' Moor Academy,Not applicable,False
Greensted Primary School & Nursery,Not applicable,False
Orchard Academy,"ASD - Autistic Spectrum Disorder; SEMH - Social, Emotional and Mental Health",True
Blue Coat Church of England Academy,Not applicable,False
Lady Margaret School,Not applicable,False
Sudbury Primary School,Not applicable,False
Queens Park Community School,Not applicable,False
Alperton Community School,Not applicable,False
Crofton Infant School,SLD - Severe Learning Difficulty,True
St Thomas Becket Catholic Primary School,Not applicable,False
Cranford Park Academy,Not applicable,False
Altrincham College,Not applicable,False
Upperwood Academy,Not applicable,False
Chew Stoke Church School,Not applicable,False
The Oaks Primary School & Nursery,Not applicable,False
"St Catherine's Catholic Primary School, Swindon",Not applicable,False
Thomas Bennett Community College,ASD - Autistic Spectrum Disorder,True
Wood End Park Academy,ASD - Autistic Spectrum Disorder,True
"Saint Benedict, A Catholic Voluntary Academy","SpLD - Specific Learning Difficulty; VI - Visual Impairment; OTH - Other Difficulty/Disability; HI - Hearing Impairment; SLCN - Speech, language and Communication; ASD - Autistic Spectrum Disorder; SEMH - Social, Emotional and Mental Health; PD - Physical Disability; MLD - Moderate Learning Difficulty; SLD - Severe Learning Difficulty",True
St John's Marlborough,SpLD - Specific Learning Difficulty,True
Ludlow Infant Academy,Not applicable,False
Portswood Primary School,Not applicable,False
Long Field Spencer Academy,Not applicable,False
Easton Royal Academy,Not applicable,False
Devizes School,SpLD - Specific Learning Difficulty,True
Aveton Gifford CofE Primary School,Not applicable,False
Monk's Walk School,Not applicable,False
Ribbon School,Not applicable,False
Maplefields Academy,"SEMH - Social, Emotional and Mental Health",True
White Waltham CofE Academy,Not applicable,False
Holy Family Catholic Primary School,Not applicable,False
Louth Kidgate Primary Academy,Not applicable,False
Kesteven and Grantham Girls' School,Not applicable,False
The Nettleham Infant and Nursery School,Not applicable,False
The Gainsborough Parish Church Primary School,Not applicable,False
The Kimberley School,Not applicable,False
Costessey Primary School,Not applicable,False
Seymour Primary School,Not applicable,False
Parklands High School,Not applicable,False
Hilltop Primary School,Not applicable,False
St Columba's Catholic Boys' School,"SLCN - Speech, language and Communication; ASD - Autistic Spectrum Disorder; PD - Physical Disability; MLD - Moderate Learning Difficulty",True
Orleans Park School,SpLD - Specific Learning Difficulty,True
The Cedars Academy,"SLCN - Speech, language and Communication; PD - Physical Disability",True
Briscoe Lane Academy,Not applicable,False
Elmridge Primary School,Not applicable,False
Begbrook Primary Academy,Not applicable,False
Siddal Primary School,Not applicable,False
Summerhill Academy,Not applicable,False
Castleview Primary School,"SpLD - Specific Learning Difficulty; VI - Visual Impairment; HI - Hearing Impairment; SLCN - Speech, language and Communication; ASD - Autistic Spectrum Disorder; SEMH - Social, Emotional and Mental Health; PD - Physical Disability; MLD - Moderate Learning Difficulty",True
Foxwood Academy,SpLD - Specific Learning Difficulty,True
Eaton Bank Academy,Not applicable,False
Whitemoor Academy (Primary and Nursery),"SLCN - Speech, language and Communication; ASD - Autistic Spectrum Disorder",True
Waseley Hills High School,ASD - Autistic Spectrum Disorder,True
"Queen Elizabeth's Grammar School, Horncastle",Not applicable,False
St George's Catholic Voluntary Academy,Not applicable,False
Lord Williams's School,"SLCN - Speech, language and Communication; ASD - Autistic Spectrum Disorder",True
Filton Avenue Primary School,Not applicable,False
Tregolls Academy,"SpLD - Specific Learning Difficulty; SLCN - Speech, language and Communication; ASD - Autistic Spectrum Disorder; SEMH - Social, Emotional and Mental Health; MSI - Multi-Sensory Impairment; PD - Physical Disability; MLD - Moderate Learning Difficulty; SLD - Severe Learning Difficulty; PMLD - Profound and Multiple Learning Difficulty",True
Beanfield Primary School,"SpLD - Specific Learning Difficulty; VI - Visual Impairment; OTH - Other Difficulty/Disability; HI - Hearing Impairment; SLCN - Speech, language and Communication; ASD - Autistic Spectrum Disorder; SEMH - Social, Emotional and Mental Health; PD - Physical Disability; MLD - Moderate Learning Difficulty; SLD - Severe Learning Difficulty; PMLD - Profound and Multiple Learning Difficulty",True
Park View Primary Academy,Not applicable,False
Brockworth Primary Academy,Not applicable,False
Ryecroft Primary Academy,Not applicable,False
Newington Academy,Not applicable,False
The Green Way Academy,Not applicable,False
Hall Road Academy,Not applicable,False
Ark Bentworth Primary Academy,Not applicable,False
Ark Putney Academy,Not applicable,False
Southfields Academy,"HI - Hearing Impairment; SLCN - Speech, language and Communication",True
Thames View Infants,"ASD - Autistic Spectrum Disorder; SEMH - Social, Emotional and Mental Health",True
Copthall School,Not applicable,False
Cleeve Park School,PD - Physical Disability,True
Oasis Academy Byron,Not applicable,False
Krishna Avanti Primary School,Not applicable,False
Latchmere School,ASD - Autistic Spectrum Disorder,True
Barclay Primary School,Not applicable,False
Chingford Foundation School,"SLCN - Speech, language and Communication",True
Greenholm Primary School,Not applicable,False
Barr View Primary & Nursery Academy,Not applicable,False
George Dixon Academy,Not applicable,False
West Derby School,Not applicable,False
New Bridge School,"SpLD - Specific Learning Difficulty; VI - Visual Impairment; OTH - Other Difficulty/Disability; HI - Hearing Impairment; SLCN - Speech, language and Communication; ASD - Autistic Spectrum Disorder; MSI - Multi-Sensory Impairment; PD - Physical Disability; MLD - Moderate Learning Difficulty; SLD - Severe Learning Difficulty; PMLD - Profound and Multiple Learning Difficulty",True
Beis Yaakov High School,Not applicable,False
The Byrchall High School,Not applicable,False
The Hill Primary Academy,Not applicable,False
Highgate Primary Academy,Not applicable,False
Carrfield Primary Academy,Not applicable,False
St Oswald's CofE Academy,Not applicable,False
Armthorpe Shaw Wood Academy,Not applicable,False
King James's School,Not applicable,False
Horbury Academy,Not applicable,False
Cotham Gardens Primary School,Not applicable,False
Greenfield E-ACT Primary Academy,Not applicable,False
Oasis Academy New Oak,HI - Hearing Impairment; ASD - Autistic Spectrum Disorder,True
Outwood Academy Ormesby,"SLCN - Speech, language and Communication",True
Epworth Primary Academy,Not applicable,False
Westwoodside Church of England Academy,Not applicable,False
The Vale Academy,Not applicable,False
Shepherdswell Academy,"SpLD - Specific Learning Difficulty; SLCN - Speech, language and Communication; ASD - Autistic Spectrum Disorder; SEMH - Social, Emotional and Mental Health; MLD - Moderate Learning Difficulty",True
Wyvern Academy,Not applicable,False
Woodham Academy,PD - Physical Disability,True
Hope Wood Academy,"SpLD - Specific Learning Difficulty; HI - Hearing Impairment; SLCN - Speech, language and Communication; ASD - Autistic Spectrum Disorder; MLD - Moderate Learning Difficulty; SLD - Severe Learning Difficulty; PMLD - Profound and Multiple Learning Difficulty",True
Hook-With-Warsash Church of England Academy,Not applicable,False
Eggar's School,SpLD - Specific Learning Difficulty,True
Ibstock School,Not applicable,False
The Faber Catholic Primary School,Not applicable,False
St Filumena's Catholic Primary School,Not applicable,False
St Giles Catholic Primary School,Not applicable,False
St Mary's Catholic Academy,Not applicable,False
St Thomas' Catholic Primary School,Not applicable,False
St Joseph's Catholic Primary School,Not applicable,False
The Rawlett School (An Aet Academy),Not applicable,False
Painsley Catholic College,"SpLD - Specific Learning Difficulty; VI - Visual Impairment; HI - Hearing Impairment; SLCN - Speech, language and Communication; ASD - Autistic Spectrum Disorder; SEMH - Social, Emotional and Mental Health; MSI - Multi-Sensory Impairment; PD - Physical Disability; MLD - Moderate Learning Difficulty",True
Phoenix Infant Academy,ASD - Autistic Spectrum Disorder,True
Lymm High School,Not applicable,False
Christow Primary School,Not applicable,False
"Joyce Frankland Academy, Newport",Not applicable,False
Kenningtons Primary Academy,Not applicable,False
Beacon Hill Academy,SLD - Severe Learning Difficulty,True
West Malling Church of England Primary School and McGinty Speech and Language Srp,"SLCN - Speech, language and Communication",True
Sturry Church of England Primary School,Not applicable,False
Norbreck Primary Academy,Not applicable,False
Old Basford School,Not applicable,False
The Milford Academy,Not applicable,False
Kelsall Primary and Nursery School,Not applicable,False
"The County High School, Leftwich",Not applicable,False
Ghyllside Primary School,Not applicable,False
Newent Community School and Sixth Form Centre,Not applicable,False
Hertswood Academy,Not applicable,False
Ling Moor Primary Academy,Not applicable,False
Hogsthorpe Primary Academy,Not applicable,False
Skegness Infant Academy,Not applicable,False
Carlton Road Academy,Not applicable,False
Staniland Academy,Not applicable,False
Ellison Boulters Church of England Primary School,Not applicable,False
Haven High Academy,Not applicable,False
William Lovell Church of England Academy,Not applicable,False
Skegness Grammar School,Not applicable,False
Acle Academy,"SpLD - Specific Learning Difficulty; VI - Visual Impairment; OTH - Other Difficulty/Disability; HI - Hearing Impairment; SLCN - Speech, language and Communication; ASD - Autistic Spectrum Disorder; SEMH - Social, Emotional and Mental Health; PD - Physical Disability; MLD - Moderate Learning Difficulty; SLD - Severe Learning Difficulty",True
Boughton Primary School,Not applicable,False
Gretton Primary Academy,Not applicable,False
St Birinus School,Not applicable,False
Axbridge Church of England First School Academy,Not applicable,False
Danetree Primary School,Not applicable,False
The Matthew Arnold School,Not applicable,False
Wishmore Cross Academy,"SEMH - Social, Emotional and Mental Health",True
Shipston High School,Not applicable,False
"The King's House School, Windsor",Not applicable,False
The St Michael Steiner School,Not applicable,False
Curledge Street Academy,Not applicable,False
Kings Ash Academy,Not applicable,False
John Henry Newman Academy,Not applicable,False
East Birmingham Network Academy,Not applicable,False
Zaytouna Primary School,Not applicable,False
La Petite Ecole Bilingue,Not applicable,False
Novaturient School,"SEMH - Social, Emotional and Mental Health",True
King Edward VI Academy,Not applicable,False
Rushbrook Primary Academy,"SLCN - Speech, language and Communication; ASD - Autistic Spectrum Disorder",True
Stanley Grove Primary Academy,Not applicable,False
Offa's Mead Academy,Not applicable,False
Childwall Sports & Science Academy,Not applicable,False
Forest Gate Academy,Not applicable,False
Minerva Primary Academy,Not applicable,False
Landau Forte Academy Moorhead,Not applicable,False
Frome Vale Academy,Not applicable,False
Great Yarmouth Primary Academy,Not applicable,False
Fishponds CofE Primary School,"SLCN - Speech, language and Communication; ASD - Autistic Spectrum Disorder",True
Dersingham Primary School,Not applicable,False
Kelling CE Primary School,Not applicable,False
Walsingham CE VA Primary School,Not applicable,False
Nansen Primary School,Not applicable,False
Hafs Academy,Not applicable,False
"Octavia House Schools, London","OTH - Other Difficulty/Disability; SEMH - Social, Emotional and Mental Health",True
Ashby Hill Top Primary School,Not applicable,False
Broomfield Community Primary School,Not applicable,False
Eastfield Primary School,Not applicable,False
Gaddesby Primary School,Not applicable,False
Huttoft Primary & Nursery School,Not applicable,False
Lady Jane Grey Primary School,Not applicable,False
Christ The King Voluntary Academy,Not applicable,False
"The Good Shepherd Catholic Primary, Arnold",Not applicable,False
Holy Cross Primary Catholic Voluntary Academy,Not applicable,False
The Sacred Heart Primary Catholic Voluntary Academy,Not applicable,False
St Margaret Clitherow Catholic Primary School,Not applicable,False
Stourfield Infant School,Not applicable,False
"The Little Gonerby Church of England Primary Academy, Grantham",Not applicable,False
The Marlborough Church of England School,"SLCN - Speech, language and Communication; ASD - Autistic Spectrum Disorder; PD - Physical Disability",True
The Merton Primary School,Not applicable,False
The Priory Belvoir Academy,Not applicable,False
Castle Donington College,Not applicable,False
Wootton Primary School,Not applicable,False
Charters School,PD - Physical Disability,True
Manston St James Primary Academy,Not applicable,False
Grey Court School,"SLCN - Speech, language and Communication",True
New Seaham Academy,Not applicable,False
St Norbert's Catholic Voluntary Academy,Not applicable,False
"St Thomas of Canterbury School, a Catholic Voluntary Academy",PD - Physical Disability,True
